employee_id,Name,Address,Salary,DOJ,DOB,Age,Sex,Dependents,HRA,DA,PF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
1,VgwbPyBn,"jyNxKZtk St, piZQhYcARo, PUN 172813",149289.04,1998-04-27,1971-03-27,53,Other,2,8776.096000000000,35233.66637469590,22142.724764963500,171156.07760973200,None,Widowed,26,32,Sales,Sales Director
2,pgdYaIWk,"PypVsqug St, iHyelKZbFc, BLR 580530",69761.64,2020-10-24,1997-12-12,26,Male,0,9302.836,16464.425985401500,10347.127918248200,85181.77406715330,Both,Single,3,5,Human Resources,HR Executive
3,eWgVBGVv,"pfQezTVa St, YfIaELfpUw, BLR 155186",107633.14,2020-07-22,1979-08-20,44,Female,2,13357.686,25402.46856447690,15964.273027737200,130429.02153674000,None,Divorced,3,23,Marketing,Senior Marketing Executive
4,LYDofRRu,"wcTsbmFr St, UdylzZFFCU, AMD 843852",147408.65,2007-03-27,1966-06-07,58,Male,1,6026.135,34789.87603406330,21863.82312408760,166360.83790997600,None,Married,17,37,Finance,Account Director
5,vhLFHcRg,"DdxKVhli St, cYOjpbMztB, BLR 713383",53447.06,2017-05-23,1992-11-19,31,Male,2,7554.294,12614.02632603410,7927.3303591240900,65688.04996691000,Life,Married,7,10,Sales,Sales Executive
6,mNWPWGPP,"vuHIgjXl St, IodaWueNON, PUN 605979",106580.11,2022-07-20,1990-05-16,34,Female,1,11491.989,25153.943236009700,15808.086388321200,127417.95584768900,Medical,Married,1,13,Sales,Regional Sales Manager
7,vjbszTQW,"LLOOZxHr St, iiZXVGMuRa, DEL 672793",146007.75,2022-07-12,1971-12-04,52,Other,2,6581.2250000000000,34459.25000000000,21656.04,165392.185,None,Married,2,31,Finance,National Account Head
8,zXUdTHaJ,"XyBINigj St, BxfKiOEuiT, DEL 254142",76986.74,2019-08-10,1991-12-06,32,Female,3,7467.326000000000,18169.619902676400,11418.763188321200,91204.92271435520,Life,Married,4,11,Sales,Senior Executive
9,sIZQRTaq,"ZrqSMeKj St, BSMxlzAcjl, BLR 743922",134973.46,2005-11-06,1965-11-05,58,Other,1,9632.654,31855.05017031630,20019.421220438000,156441.74294987800,Medical,Divorced,18,37,IT,Technical Lead
10,DTjnhgxd,"ZEeBgofu St, BGXeaFhWmT, CHN 978281",120881.83,2006-12-23,1968-09-24,55,Female,2,10167.817,28529.288345498800,17929.334201459900,141649.60114403900,Both,Married,17,34,Marketing,National Marketing Manager
11,eBRYbQan,"wfXTduBi St, cVZIuyZwoH, PUN 942002",111585.44,2007-11-27,1974-06-19,50,Other,4,13397.456000000000,26335.249829683700,16550.48277956200,134767.66305012200,Both,Married,16,29,Marketing,National Marketing Manager
12,eWLUSyxM,"mXNzUhRW St, MNtLblAkxo, DEL 748567",110267.59,2021-04-26,1976-02-03,48,Female,1,11370.241,26024.224403892900,16355.017728467200,131307.0376754260,Medical,Married,3,27,IT,IT Manager
